TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,GPS_FIX,GPS_LAT,GPS_LONG,GPS_ALT,GPS_SPEED,GPS_HDOP,GPS_SATNUM,PM_1,PM_25,PM_10
2020-10-01 02:21:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:21:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:21:25+02:00,23.01,63.1,98.0,0.0,25.47,101.2,6.0,444.0,3.0,41.396826000000004,2.194345,113.94,,294.0,7.0,3.0,4.0,9.0
2020-10-01 02:21:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:21:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:21:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:21:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:21:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:21:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:25+02:00,22.98,63.11,98.0,0.0,28.92,101.2,6.0,444.0,3.0,41.396944,2.194305,102.69,,187.0,9.0,8.0,9.0,9.0
2020-10-01 02:22:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:22:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:25+02:00,22.98,63.05,98.0,0.0,26.84,101.2,6.0,441.0,3.0,41.396902000000004,2.1942180000000002,83.93,,176.0,9.0,9.0,9.0,9.0
2020-10-01 02:23:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:23:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:25+02:00,23.01,63.06,98.0,0.0,26.16,101.2,2.0,414.0,3.0,41.39695,2.1943040000000003,75.11,,182.0,9.0,3.0,4.0,4.0
2020-10-01 02:24:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:24:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:25+02:00,23.01,63.12,98.0,0.0,24.89,101.19,6.0,441.0,3.0,41.396941,2.1943029999999997,77.32,,182.0,9.0,6.0,6.0,6.0
2020-10-01 02:25:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:25:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:25+02:00,23.01,63.08,98.0,0.0,25.47,101.19,6.0,441.0,3.0,41.397075,2.194208,76.65,,296.0,7.0,7.0,7.0,7.0
2020-10-01 02:26:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:26:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:27:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:27:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:27:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:27:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:27:20+02:00,,,,,,,,,,,,,,,,,,
